DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
PL2024_1010_22U3198,264709,Transmission,UT,18:00:00 14-May-2024,20:00:00 14-May-2024,depth,shallow,0.000000,25.2,1778,1850,41,,1.000000,,,7.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,18:00:00 14-May-2024,20:00:00 14-May-2024,depth,deep,,69.3,4953,5025,41,23.000000,,27.000000,33.000000,,44.000000,67.000000
PL2024_1010_22U3198,264709,Transmission,UT,18:00:00 14-May-2024,20:00:00 14-May-2024,depth,dry,,5.5,360,432,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,20:00:00 14-May-2024,22:00:00 14-May-2024,depth,shallow,0.000000,26.0,1835,1907,40,,1.000000,,,7.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,20:00:00 14-May-2024,22:00:00 14-May-2024,depth,deep,,66.9,4783,4855,40,27.000000,,35.000000,44.000000,,51.000000,68.000000
PL2024_1010_22U3198,264709,Transmission,UT,20:00:00 14-May-2024,22:00:00 14-May-2024,depth,dry,,7.1,475,547,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,22:00:00 14-May-2024,00:00:00 15-May-2024,depth,shallow,0.000000,42.5,3025,3097,38,,1.000000,,,6.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,22:00:00 14-May-2024,00:00:00 15-May-2024,depth,deep,,49.6,3536,3608,38,21.000000,,26.000000,35.000000,,51.000000,76.000000
PL2024_1010_22U3198,264709,Transmission,UT,22:00:00 14-May-2024,00:00:00 15-May-2024,depth,dry,,7.9,533,605,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,00:00:00 15-May-2024,02:00:00 15-May-2024,depth,shallow,0.000000,40.2,2855,2927,41,,1.000000,,,6.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,00:00:00 15-May-2024,02:00:00 15-May-2024,depth,deep,,54.3,3876,3948,41,21.000000,,25.000000,31.000000,,38.000000,66.000000
PL2024_1010_22U3198,264709,Transmission,UT,00:00:00 15-May-2024,02:00:00 15-May-2024,depth,dry,,5.5,360,432,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,02:00:00 15-May-2024,04:00:00 15-May-2024,depth,shallow,0.000000,32.3,2288,2360,49,,1.000000,,,8.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,02:00:00 15-May-2024,04:00:00 15-May-2024,depth,deep,,61.4,4386,4458,49,21.000000,,25.000000,28.000000,,31.000000,52.000000
PL2024_1010_22U3198,264709,Transmission,UT,02:00:00 15-May-2024,04:00:00 15-May-2024,depth,dry,,6.3,418,490,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,04:00:00 15-May-2024,06:00:00 15-May-2024,depth,shallow,0.000000,27.6,1948,2020,25,,1.000000,,,5.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,04:00:00 15-May-2024,06:00:00 15-May-2024,depth,deep,,34.6,2458,2530,25,22.000000,,28.000000,33.000000,,41.000000,56.000000
PL2024_1010_22U3198,264709,Transmission,UT,04:00:00 15-May-2024,06:00:00 15-May-2024,depth,dry,,37.8,2686,2758,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,06:00:00 15-May-2024,08:00:00 15-May-2024,depth,shallow,0.000000,9.4,644,716,0,,1.000000,,,1.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,06:00:00 15-May-2024,08:00:00 15-May-2024,depth,deep,,0.2,1,50,0,17.000000,,19.000000,20.000000,,21.000000,22.000000
PL2024_1010_22U3198,264709,Transmission,UT,06:00:00 15-May-2024,08:00:00 15-May-2024,depth,dry,,90.4,6473,6545,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,08:00:00 15-May-2024,10:00:00 15-May-2024,depth,shallow,0.000000,80.3,5747,5819,9,,1.000000,,,1.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,08:00:00 15-May-2024,10:00:00 15-May-2024,depth,deep,,7.1,474,546,9,18.000000,,20.000000,23.000000,,26.000000,30.000000
PL2024_1010_22U3198,264709,Transmission,UT,08:00:00 15-May-2024,10:00:00 15-May-2024,depth,dry,,12.6,871,943,,,,,,,,
PL2024_1010_22U3198,264709,Transmission,UT,18:00:00 15-May-2024,20:00:00 15-May-2024,depth,shallow,0.000000,46.5,3309,3381,36,,1.000000,,,6.000000,,15.000000
PL2024_1010_22U3198,264709,Transmission,UT,18:00:00 15-May-2024,20:00:00 15-May-2024,depth,deep,,41.7,2969,3041,36,20.000000,,24.000000,30.000000,,37.000000,45.000000
