DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
PL2024_1010_22U3198,264709,UT,Strong,13-May-2024,02:18:33,13-May-2024,02:18:33
PL2024_1010_22U3198,264709,UT,Strong,05-Jan-2025,17:20:11,05-Jan-2025,17:19:58
