Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
PL2024_1010_22U3198,16-May-2024,03:18:53,1,,,,0,8,,,,,,,,,,,,,,,15,32,23364,,,,10,15088,,,,21,10382,,,,3,21124,,,,2,15154,,,,8,12541,,,,14,6330,,,,17,31457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,05:43:53,3,,,,0,8,,,,,,,,,,,,,,,15,9,3130,,,,19,20792,,,,17,27260,,,,6,9450,,,,4,32614,,,,11,9903,,,,3,16186,,,,12,10625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,07:40:32,4,,,,0,7,,,,,,,,,,,,,,,15,7,7874,,,,9,646,,,,3,6787,,,,6,2454,,,,4,28556,,,,11,6365,,,,26,5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,09:05:42,2,,,,0,8,,,,,,,,,,,,,,,15,11,7814,,,,20,4794,,,,30,11714,,,,7,31154,,,,5,32544,,,,6,3977,,,,29,12432,,,,9,26601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,11:04:15,3,,,,0,8,,,,,,,,,,,,,,,15,14,23238,,,,7,25136,,,,20,26592,,,,13,1344,,,,5,7864,,,,30,14191,,,,22,9200,,,,18,16591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,14:04:37,4,,,,0,4,,,,,,,,,,,,,,,15,23,27460,,,,10,5723,,,,24,25640,,,,15,14933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,17:36:12,1,,,,0,8,,,,,,,,,,,,,,,15,11,9074,,,,29,9608,,,,12,3396,,,,32,18592,,,,6,25532,,,,31,32731,,,,24,32544,,,,19,4401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,18:03:47,2,,,,0,8,,,,,,,,,,,,,,,15,25,5419,,,,29,8275,,,,12,9798,,,,28,23866,,,,31,32100,,,,6,5683,,,,11,13858,,,,32,10801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,20:01:25,4,,,,0,6,,,,,,,,,,,,,,,15,25,13606,,,,31,20918,,,,5,4726,,,,26,11317,,,,1,19178,,,,18,13591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,21:52:13,3,,,,0,6,,,,,,,,,,,,,,,15,5,8089,,,,27,26209,,,,1,10658,,,,26,19530,,,,18,98,,,,29,27079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,16-May-2024,23:50:18,2,,,,0,8,,,,,,,,,,,,,,,15,10,22252,,,,13,24764,,,,18,15626,,,,15,20936,,,,23,12726,,,,27,15519,,,,30,486,,,,16,24253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,17-May-2024,01:36:24,1,,,,0,5,,,,,,,,,,,,,,,15,21,15080,,,,22,12015,,,,14,14090,,,,2,17864,,,,8,13620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
