DeployID,Ptt,Source,Instr,Date,Kind,Minimum,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
160375,160375,Transmission,UT,00:00:00 05-May-2017,depth,7.000000,,,,,8.000000,,,,,16.000000,,,,,61.000000,,,,,223.000000
160375,160375,Transmission,UT,00:00:00 05-May-2017,temp,18.900000,,,,,25.300001,,,,,25.600000,,,,,25.800001,,,,,26.000000
160375,160375,Transmission,UT,00:00:00 05-May-2017,oxygen,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000
160375,160375,Transmission,UT,00:00:00 14-May-2017,depth,6.000000,,,,,15.000000,,,,,49.000000,,,,,102.000000,,,,,375.000000
160375,160375,Transmission,UT,00:00:00 14-May-2017,temp,10.600000,,,,,24.700001,,,,,25.700001,,,,,26.100000,,,,,26.300001
160375,160375,Transmission,UT,00:00:00 14-May-2017,oxygen,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000
160375,160375,Transmission,UT,00:00:00 04-Jun-2017,depth,7.000000,,,,,8.000000,,,,,9.000000,,,,,38.000000,,,,,263.000000
160375,160375,Transmission,UT,00:00:00 04-Jun-2017,temp,16.300001,,,,,25.900000,,,,,26.100000,,,,,26.200001,,,,,26.500000
160375,160375,Transmission,UT,00:00:00 04-Jun-2017,oxygen,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000
160375,160375,Transmission,UT,00:00:00 24-Jun-2017,depth,7.000000,,,,,9.000000,,,,,30.000000,,,,,72.000000,,,,,256.000000
160375,160375,Transmission,UT,00:00:00 24-Jun-2017,temp,15.000000,,,,,24.700001,,,,,26.000000,,,,,26.300001,,,,,28.400002
160375,160375,Transmission,UT,00:00:00 24-Jun-2017,oxygen,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000,,,,,0.250000
