DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
160375,160375,UT,Strong,11-Nov-2016,05:07:58,11-Nov-2016,05:08:03
160375,160375,UT,Strong,11-Jun-2017,15:48:45,11-Jun-2017,15:49:28
