DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
160375,160375,0.500000,UT,,02:23:04 23-Jan-2017,02:23:22 23-Jan-2017,18,B,21.2257,-156.8600,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,04:28:07 23-Jan-2017,04:28:25 23-Jan-2017,18,1,21.1819,-156.8097,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,05:16:25 23-Jan-2017,05:16:42 23-Jan-2017,17,B,21.1799,-156.8056,CRC,,,,4475,3.375,,,23.85,4.5,,,,,,,,,,,,,132,100,,,,,,,,,255,930,639,
160375,160375,0.500000,UT,,20:16:10 04-Feb-2017,20:16:29 04-Feb-2017,19,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,08:41:17 06-Feb-2017,08:41:37 06-Feb-2017,20,B,20.9940,-156.8507,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,04:50:53 16-Feb-2017,04:51:15 16-Feb-2017,22,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,18:13:57 20-Feb-2017,18:14:20 20-Feb-2017,23,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,04:44:02 25-Feb-2017,04:44:25 25-Feb-2017,23,B,20.9858,-156.8298,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,15:55:21 01-Mar-2017,15:55:45 01-Mar-2017,24,B,21.0107,-157.4046,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,17:07:53 04-Mar-2017,17:08:18 04-Mar-2017,25,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,0.500000,UT,,19:44:48 06-Mar-2017,19:45:13 06-Mar-2017,25,A,21.0748,-157.0291,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
