DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
L651,264743,0.500000,UT,,,06:28:37 25-Apr-2024,,2,37.1261,-122.3255,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,06:31:02 25-Apr-2024,,2,37.1261,-122.3255,,,,,,,,,14.70,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,06:31:46 25-Apr-2024,,2,37.1261,-122.3255,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,06:50:52 25-Apr-2024,,B,37.1196,-122.3187,,,,,,,,,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,07:45:23 25-Apr-2024,,A,37.1229,-122.3288,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,07:46:51 25-Apr-2024,,A,37.1229,-122.3288,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,07:48:20 25-Apr-2024,,A,37.1229,-122.3288,,,,,,,,,14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,07:57:07 25-Apr-2024,07:57:08 25-Apr-2024,1,3,37.1168,-122.3314,CRC,,,,127,3.150,,,14.45,1.0,,,127,,,,,,,,,,255,255,,0,,,,,,,0,,,0,99,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,07:58:36 25-Apr-2024,,3,37.1168,-122.3314,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,07:59:20 25-Apr-2024,,3,37.1168,-122.3314,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,08:00:04 25-Apr-2024,,3,37.1168,-122.3314,,,,,,,,,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,08:00:49 25-Apr-2024,,3,37.1168,-122.3314,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,08:01:33 25-Apr-2024,,3,37.1168,-122.3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,3126
L651,264743,0.500000,UT,,,02:13:20 02-May-2024,,B,36.8718,-123.6791,,,,,,,,,,,,,865,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,03:49:34 02-May-2024,,B,36.9249,-123.7438,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,03:50:19 02-May-2024,,B,36.9249,-123.7438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,3126
L651,264743,0.500000,UT,,,03:58:31 02-May-2024,,B,36.9327,-123.7050,,,,,,,,,,,,,449,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,04:40:15 02-May-2024,,B,36.8689,-123.6761,,,,,,,,,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,04:58:28 02-May-2024,,A,36.9567,-123.5863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,3126
L651,264743,0.500000,UT,,,04:59:13 02-May-2024,,A,36.9567,-123.5863,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,05:08:21 02-May-2024,,A,36.9567,-123.5863,,,,,,,,,12.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,05:17:52 02-May-2024,,B,36.9437,-123.7341,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,06:01:20 02-May-2024,,B,36.9451,-123.7621,,,,,,,,,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,06:07:58 02-May-2024,,A,36.9387,-123.7081,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,06:10:12 02-May-2024,,A,36.9387,-123.7081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,3126
L651,264743,0.500000,UT,,,06:16:25 02-May-2024,,B,36.9382,-123.7088,,,,,,,,,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,06:45:50 02-May-2024,06:45:51 02-May-2024,1,B,36.9344,-123.7431,CRC,,,,352,3.175,,,12.10,0.5,,,112,,,,,,,,,,124,16,,0,,,,,,,0,,,0,37,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,06:46:35 02-May-2024,,B,36.9344,-123.7431,,,,,,,,,,,,,437,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,07:32:20 02-May-2024,,B,36.9345,-123.7833,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,08:08:59 02-May-2024,,B,36.9386,-123.7804,,,,,,,,,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,12:50:32 02-May-2024,,B,36.9313,-124.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,3126
L651,264743,0.500000,UT,,,13:01:36 02-May-2024,,B,36.9257,-123.8483,,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,13:02:20 02-May-2024,,B,36.9257,-123.8483,,,,,,,,,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,14:26:44 02-May-2024,14:26:45 02-May-2024,1,B,36.9923,-123.7859,CRC,,,,427,3.175,,,11.90,1.0,,,194,,,,,,,,,,109,16,,0,,,,,,,2,,,0,45,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,14:38:16 02-May-2024,,A,37.0035,-123.7973,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,14:45:52 02-May-2024,,A,37.0035,-123.7973,,,,,,,,,,,,,770,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,14:46:36 02-May-2024,,A,37.0035,-123.7973,,,,,,,,,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,15:04:55 02-May-2024,,B,36.9908,-123.7648,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,15:13:05 02-May-2024,,B,36.9908,-123.7648,,,,,,,,,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,18:28:45 02-May-2024,,B,37.0185,-123.8019,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,18:49:37 02-May-2024,,B,37.0236,-123.8414,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,1.00a,,19:07:33 02-May-2024,,B,37.0188,-123.8243,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,
L651,264743,0.500000,UT,,,19:08:18 02-May-2024,,B,37.0188,-123.8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 25-Apr-2024,,,3126
