DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
L651,264743,UT,Weak,25-Apr-2024,03:32:15,25-Apr-2024,03:32:16
L651,264743,UT,Strong,09-May-2024,07:15:38,09-May-2024,07:15:38
L651,264743,UT,Strong,09-Oct-2024,17:14:39,09-Oct-2024,17:14:30
