DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J021,242856,UT,,,,,,,15:52:25 04-Jun-2024,,,1751,,,,,,40,19,14.90,8.90,96
J021,242856,UT,,,,,,,15:52:25 04-Jun-2024,0,15:52:25 04-Jun-2024,284,0,296,709,0,66,,,,,
J021,242856,UT,,,,,,,15:52:25 04-Jun-2024,1,15:57:09 04-Jun-2024,660,296,360,3752,0,,,,,,
J021,242856,UT,,,,,,,15:52:25 04-Jun-2024,2,16:08:09 04-Jun-2024,465,360,296,2896,1,,,,,,
J021,242856,UT,,,,,,,15:52:25 04-Jun-2024,3,16:15:54 04-Jun-2024,104,296,212,1093,0,,,,,,
J021,242856,UT,,,,,,,15:52:25 04-Jun-2024,4,16:17:38 04-Jun-2024,142,212,0,1566,0,-27,,,,,
J021,242856,UT,1,39.9068,-130.5998,,,,03:09:21 05-Jun-2024,,,1435,,,,,,210,182,15.60,8.70,196
J021,242856,UT,1,39.9068,-130.5998,,,,03:09:21 05-Jun-2024,0,03:09:21 05-Jun-2024,319,0,424,1078,0,73,,,,,
J021,242856,UT,1,39.9068,-130.5998,,,,03:09:21 05-Jun-2024,1,03:14:40 05-Jun-2024,281,424,498,4148,28,,,,,,
J021,242856,UT,1,39.9068,-130.5998,,,,03:09:21 05-Jun-2024,2,03:19:21 05-Jun-2024,78,498,448,686,2,,,,,,
J021,242856,UT,1,39.9068,-130.5998,,,,03:09:21 05-Jun-2024,3,03:20:39 05-Jun-2024,232,448,464,3005,11,,,,,,
J021,242856,UT,1,39.9068,-130.5998,,,,03:09:21 05-Jun-2024,4,03:24:31 05-Jun-2024,329,464,0,3560,2,-35,,,,,
J021,242856,UT,B,40.1902,-131.7352,,,,11:42:49 06-Jun-2024,,,3197,,,,,,66,65,15.80,9.50,2046
J021,242856,UT,B,40.1902,-131.7352,,,,11:42:49 06-Jun-2024,0,11:42:49 06-Jun-2024,153,0,148,423,0,70,,,,,
J021,242856,UT,B,40.1902,-131.7352,,,,11:42:49 06-Jun-2024,1,11:45:22 06-Jun-2024,360,148,228,1612,2,,,,,,
J021,242856,UT,B,40.1902,-131.7352,,,,11:42:49 06-Jun-2024,2,11:51:22 06-Jun-2024,404,228,192,3356,0,,,,,,
J021,242856,UT,B,40.1902,-131.7352,,,,11:42:49 06-Jun-2024,3,11:58:06 06-Jun-2024,126,192,124,1453,0,,,,,,
J021,242856,UT,B,40.1902,-131.7352,,,,11:42:49 06-Jun-2024,4,12:00:12 06-Jun-2024,108,124,0,1004,0,-21,,,,,
J021,242856,UT,,,,,,,03:19:00 08-Jun-2024,,,1369,,,,,,194,194,16.10,9.20,109
J021,242856,UT,,,,,,,03:19:00 08-Jun-2024,0,03:19:00 08-Jun-2024,335,0,440,963,0,71,,,,,
J021,242856,UT,,,,,,,03:19:00 08-Jun-2024,1,03:24:35 08-Jun-2024,206,440,576,2381,11,,,,,,
J021,242856,UT,,,,,,,03:19:00 08-Jun-2024,2,03:28:01 08-Jun-2024,197,576,592,2729,10,,,,,,
J021,242856,UT,,,,,,,03:19:00 08-Jun-2024,3,03:31:18 08-Jun-2024,197,592,440,2274,8,,,,,,
J021,242856,UT,,,,,,,03:19:00 08-Jun-2024,4,03:34:35 08-Jun-2024,325,440,0,3397,3,-26,,,,,
J021,242856,UT,,,,,,,08:30:22 09-Jun-2024,,,1341,,,,,,145,65,15.60,10.00,163
J021,242856,UT,,,,,,,08:30:22 09-Jun-2024,0,08:30:22 09-Jun-2024,359,0,456,1626,1,70,,,,,
J021,242856,UT,,,,,,,08:30:22 09-Jun-2024,1,08:36:21 09-Jun-2024,46,456,424,434,0,,,,,,
