DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
J612,264751,UT,Strong,10-May-2024,13:52:25,10-May-2024,13:52:27
J612,264751,UT,Strong,03-Oct-2024,17:52:41,03-Oct-2024,17:52:37
