DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J612,264751,UT,B,40.2536,-125.1143,,,,00:58:23 27-May-2024,0,00:58:23 27-May-2024,229,0,296,1629,2,69,,,,,
J612,264751,UT,B,40.2536,-125.1143,,,,00:58:23 27-May-2024,1,01:02:12 27-May-2024,147,296,328,2557,15,,,,,,
J612,264751,UT,B,40.2536,-125.1143,,,,00:58:23 27-May-2024,2,01:04:39 27-May-2024,71,328,296,1063,2,,,,,,
J612,264751,UT,B,40.2536,-125.1143,,,,00:58:23 27-May-2024,3,01:05:50 27-May-2024,98,296,200,1901,0,,,,,,
J612,264751,UT,B,40.2536,-125.1143,,,,00:58:23 27-May-2024,4,01:07:28 27-May-2024,152,200,0,2873,0,-32,,,,,
J612,264751,UT,B,40.6119,-125.1562,,,,05:26:58 28-May-2024,,,873,,,,,,218,96,11.00,7.70,91
J612,264751,UT,B,40.6119,-125.1562,,,,05:26:58 28-May-2024,0,05:26:58 28-May-2024,128,0,176,1084,0,66,,,,,
J612,264751,UT,B,40.6119,-125.1562,,,,05:26:58 28-May-2024,1,05:29:06 28-May-2024,245,176,296,4050,24,,,,,,
J612,264751,UT,B,40.6119,-125.1562,,,,05:26:58 28-May-2024,2,05:33:11 28-May-2024,140,296,188,2583,9,,,,,,
J612,264751,UT,B,40.6119,-125.1562,,,,05:26:58 28-May-2024,3,05:35:31 28-May-2024,104,188,220,1850,12,,,,,,
J612,264751,UT,B,40.6119,-125.1562,,,,05:26:58 28-May-2024,4,05:37:15 28-May-2024,165,220,0,3189,1,-37,,,,,
J612,264751,UT,B,41.0001,-125.4267,,,,18:58:42 28-May-2024,,,762,,,,,,112,110,12.10,7.20,84
J612,264751,UT,B,41.0001,-125.4267,,,,18:58:42 28-May-2024,0,18:58:42 28-May-2024,180,0,236,1332,0,70,,,,,
J612,264751,UT,B,41.0001,-125.4267,,,,18:58:42 28-May-2024,1,19:01:42 28-May-2024,80,236,376,723,4,,,,,,
J612,264751,UT,B,41.0001,-125.4267,,,,18:58:42 28-May-2024,2,19:03:02 28-May-2024,90,376,400,1674,7,,,,,,
J612,264751,UT,B,41.0001,-125.4267,,,,18:58:42 28-May-2024,3,19:04:32 28-May-2024,90,400,320,1751,4,,,,,,
J612,264751,UT,B,41.0001,-125.4267,,,,18:58:42 28-May-2024,4,19:06:02 28-May-2024,238,320,0,4833,0,-34,,,,,
J612,264751,UT,B,40.8573,-125.7639,,,,12:50:27 30-May-2024,,,772,,,,,,232,164,12.70,8.20,79
J612,264751,UT,B,40.8573,-125.7639,,,,12:50:27 30-May-2024,0,12:50:27 30-May-2024,211,0,344,1757,2,78,,,,,
J612,264751,UT,B,40.8573,-125.7639,,,,12:50:27 30-May-2024,1,12:53:58 30-May-2024,54,344,376,1464,14,,,,,,
J612,264751,UT,B,40.8573,-125.7639,,,,12:50:27 30-May-2024,2,12:54:52 30-May-2024,98,376,296,1692,6,,,,,,
J612,264751,UT,B,40.8573,-125.7639,,,,12:50:27 30-May-2024,3,12:56:30 30-May-2024,86,296,336,1171,5,,,,,,
J612,264751,UT,B,40.8573,-125.7639,,,,12:50:27 30-May-2024,4,12:57:56 30-May-2024,244,336,0,4131,4,-53,,,,,
J612,264751,UT,,,,,,,01:05:21 06-Jun-2024,,,989,,,,,,97,35,14.20,8.00,110
J612,264751,UT,,,,,,,01:05:21 06-Jun-2024,0,01:05:21 06-Jun-2024,350,0,544,2732,1,74,,,,,
J612,264751,UT,,,,,,,01:05:21 06-Jun-2024,1,01:11:11 06-Jun-2024,90,544,576,1832,9,,,,,,
J612,264751,UT,,,,,,,01:05:21 06-Jun-2024,2,01:12:41 06-Jun-2024,116,576,498,2065,3,,,,,,
J612,264751,UT,,,,,,,01:05:21 06-Jun-2024,3,01:14:37 06-Jun-2024,138,498,296,2865,2,,,,,,
J612,264751,UT,,,,,,,01:05:21 06-Jun-2024,4,01:16:55 06-Jun-2024,185,296,0,4231,0,-57,,,,,
J612,264751,UT,,,,,,,01:26:29 07-Jun-2024,,,915,,,,,,80,21,14.40,8.00,104
J612,264751,UT,,,,,,,01:26:29 07-Jun-2024,0,01:26:29 07-Jun-2024,209,0,368,1549,0,79,,,,,
J612,264751,UT,,,,,,,01:26:29 07-Jun-2024,1,01:29:58 07-Jun-2024,63,368,416,838,1,,,,,,
J612,264751,UT,,,,,,,01:26:29 07-Jun-2024,2,01:31:01 07-Jun-2024,134,416,608,2178,7,,,,,,
J612,264751,UT,,,,,,,01:26:29 07-Jun-2024,3,01:33:15 07-Jun-2024,158,608,408,2722,6,,,,,,
J612,264751,UT,,,,,,,01:26:29 07-Jun-2024,4,01:35:53 07-Jun-2024,247,408,0,5318,1,-57,,,,,
J612,264751,UT,,,,,,,04:59:52 07-Jun-2024,,,696,,,,,,168,78,14.30,8.00,88
J612,264751,UT,,,,,,,04:59:52 07-Jun-2024,0,04:59:52 07-Jun-2024,62,0,96,726,0,77,,,,,
J612,264751,UT,,,,,,,04:59:52 07-Jun-2024,1,05:00:54 07-Jun-2024,85,96,176,1089,4,,,,,,
J612,264751,UT,,,,,,,04:59:52 07-Jun-2024,2,05:02:19 07-Jun-2024,124,176,456,1775,2,,,,,,
J612,264751,UT,,,,,,,04:59:52 07-Jun-2024,3,05:04:23 07-Jun-2024,62,456,408,1291,9,,,,,,
J612,264751,UT,,,,,,,04:59:52 07-Jun-2024,4,05:05:25 07-Jun-2024,275,408,0,5124,3,-37,,,,,
J612,264751,UT,B,44.3702,-126.3784,,,,13:06:43 08-Jun-2024,,,904,,,,,,7,227,14.50,7.90,107
J612,264751,UT,B,44.3702,-126.3784,,,,13:06:43 08-Jun-2024,0,13:06:43 08-Jun-2024,286,0,440,2098,0,76,,,,,
J612,264751,UT,B,44.3702,-126.3784,,,,13:06:43 08-Jun-2024,1,13:11:29 08-Jun-2024,81,440,360,1209,0,,,,,,
J612,264751,UT,B,44.3702,-126.3784,,,,13:06:43 08-Jun-2024,2,13:12:50 08-Jun-2024,63,360,416,711,1,,,,,,
J612,264751,UT,B,44.3702,-126.3784,,,,13:06:43 08-Jun-2024,3,13:13:53 08-Jun-2024,124,416,368,1636,2,,,,,,
J612,264751,UT,B,44.3702,-126.3784,,,,13:06:43 08-Jun-2024,4,13:15:57 08-Jun-2024,243,368,0,4515,0,-51,,,,,
J612,264751,UT,B,49.3650,-127.6410,,,,03:55:13 22-Jun-2024,,,1005,,,,,,163,94,12.00,7.10,118
J612,264751,UT,B,49.3650,-127.6410,,,,03:55:13 22-Jun-2024,0,03:55:13 22-Jun-2024,263,0,440,2468,6,69,,,,,
J612,264751,UT,B,49.3650,-127.6410,,,,03:55:13 22-Jun-2024,1,03:59:36 22-Jun-2024,49,440,424,1169,5,,,,,,
J612,264751,UT,B,49.3650,-127.6410,,,,03:55:13 22-Jun-2024,2,04:00:25 22-Jun-2024,132,424,498,2035,6,,,,,,
J612,264751,UT,B,49.3650,-127.6410,,,,03:55:13 22-Jun-2024,3,04:02:37 22-Jun-2024,117,498,480,2512,17,,,,,,
J612,264751,UT,B,49.3650,-127.6410,,,,03:55:13 22-Jun-2024,4,04:04:34 22-Jun-2024,326,480,0,5500,4,-53,,,,,
J612,264751,UT,B,49.4780,-127.7299,,,,04:26:49 23-Jun-2024,,,842,,,,,,119,70,12.30,6.30,51
J612,264751,UT,B,49.4780,-127.7299,,,,04:26:49 23-Jun-2024,0,04:26:49 23-Jun-2024,167,0,272,1535,1,78,,,,,
J612,264751,UT,B,49.4780,-127.7299,,,,04:26:49 23-Jun-2024,1,04:29:36 23-Jun-2024,93,272,376,2081,11,,,,,,
J612,264751,UT,B,49.4780,-127.7299,,,,04:26:49 23-Jun-2024,2,04:31:09 23-Jun-2024,154,376,480,2592,17,,,,,,
J612,264751,UT,B,49.4780,-127.7299,,,,04:26:49 23-Jun-2024,3,04:33:43 23-Jun-2024,130,480,376,3036,12,,,,,,
J612,264751,UT,B,49.4780,-127.7299,,,,04:26:49 23-Jun-2024,4,04:35:53 23-Jun-2024,247,376,0,4332,3,-51,,,,,
J612,264751,UT,,,,,,,13:53:31 25-Jun-2024,,,1123,,,,,,21,102,12.90,7.00,134
J612,264751,UT,,,,,,,13:53:31 25-Jun-2024,0,13:53:31 25-Jun-2024,255,0,376,1113,1,76,,,,,
J612,264751,UT,,,,,,,13:53:31 25-Jun-2024,1,13:57:46 25-Jun-2024,31,376,392,603,2,,,,,,
J612,264751,UT,,,,,,,13:53:31 25-Jun-2024,2,13:58:17 25-Jun-2024,77,392,328,1020,1,,,,,,
J612,264751,UT,,,,,,,13:53:31 25-Jun-2024,3,13:59:34 25-Jun-2024,286,328,288,4545,12,,,,,,
J612,264751,UT,,,,,,,13:53:31 25-Jun-2024,4,14:04:20 25-Jun-2024,340,288,0,5890,0,-21,,,,,
