DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
K311,264746,UT,07:21:26 22-May-2024,Argos,B,40.6569,-129.5271,2711,5138,1430,98,,,,,,
K311,264746,UT,07:37:16 22-May-2024,Argos,B,40.7358,-129.5685,7650,23063,2537,56,,,,,,
K311,264746,UT,16:31:05 22-May-2024,Argos,B,40.6663,-129.7345,11779,23126,5999,89,,,,,,
K311,264746,UT,18:18:06 22-May-2024,Argos,B,40.7762,-129.6814,7711,11525,5158,108,,,,,,
K311,264746,UT,19:55:21 22-May-2024,Argos,B,40.8428,-129.7406,5350,8035,3562,90,,,,,,
K311,264746,UT,22:33:23 22-May-2024,Argos,B,40.9593,-129.8164,3516,18824,656,102,,,,,,
K311,264746,UT,00:20:50 23-May-2024,Argos,B,41.0069,-129.9324,4904,16323,1473,101,,,,,,
K311,264746,UT,02:26:07 23-May-2024,Argos,B,41.0880,-130.0584,2978,113554,78,85,,,,,,
K311,264746,UT,03:10:04 23-May-2024,Argos,B,41.1063,-130.1008,1927,7148,519,86,,,,,,
K311,264746,UT,04:08:48 23-May-2024,Argos,B,41.1360,-130.1161,946,2038,439,141,,,,,,
K311,264746,UT,04:09:11 23-May-2024,Argos,A,41.1255,-130.1114,552,839,363,103,,,,,,
K311,264746,UT,04:43:34 23-May-2024,Argos,B,41.1525,-130.1453,726,1989,264,66,,,,,,
K311,264746,UT,05:34:04 23-May-2024,Argos,B,41.1681,-130.1884,1090,6642,178,92,,,,,,
K311,264746,UT,05:51:13 23-May-2024,Argos,A,41.1703,-130.2132,1940,26864,140,85,,,,,,
K311,264746,UT,06:26:52 23-May-2024,Argos,B,41.1682,-130.2068,2137,8018,569,69,,,,,,
K311,264746,UT,07:00:02 23-May-2024,Argos,A,41.1800,-130.2252,4668,19378,1124,65,,,,,,
K311,264746,UT,07:17:23 23-May-2024,Argos,A,41.1999,-130.2272,3414,15617,746,75,,,,,,
K311,264746,UT,08:11:10 23-May-2024,Argos,A,41.2215,-130.2473,2205,24007,202,74,,,,,,
K311,264746,UT,09:50:37 23-May-2024,Argos,B,41.2555,-130.2986,5028,9921,2548,82,,,,,,
K311,264746,UT,19:45:43 23-May-2024,Argos,B,41.4597,-130.6030,7916,11800,5310,122,,,,,,
K311,264746,UT,13:27:52 24-May-2024,Argos,B,41.6944,-131.0174,18129,105512,3114,120,,,,,,
K311,264746,UT,02:23:38 29-May-2024,Argos,A,43.7504,-133.8522,807,7367,88,103,,,,,,
K311,264746,UT,02:24:01 29-May-2024,Argos,B,43.7588,-133.8842,535,3105,92,99,,,,,,
K311,264746,UT,02:45:53 29-May-2024,Argos,B,43.7576,-133.8891,1066,2908,390,90,,,,,,
K311,264746,UT,05:07:59 29-May-2024,Argos,A,43.8056,-133.9897,1774,20974,150,81,,,,,,
K311,264746,UT,05:42:49 29-May-2024,Argos,A,43.8201,-134.0169,1832,2916,1151,39,,,,,,
K311,264746,UT,05:58:10 29-May-2024,Argos,A,43.8273,-134.0227,913,17476,47,76,,,,,,
K311,264746,UT,06:13:05 29-May-2024,Argos,A,43.8282,-134.0211,880,3730,207,69,,,,,,
