DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
K311,264746,UT,DS,2,0,0,94,94,17:11:47 15-May-2024,NK,B,37.4623,-124.9312,37.4623,-124.9312,8,,401677547,-137
K311,264746,UT,DS,1,0,0,,,17:11:48 15-May-2024,MC,,,,,,,,401650000,
K311,264746,UT,DS,3,0,0,70,47,18:06:19 15-May-2024,NP,A,37.5217,-125.0702,37.5217,-125.0702,6,,401677553,-125
K311,264746,UT,DS,4,0,0,47,47,18:06:03 15-May-2024,MB,0,37.5005,-124.9490,37.5005,-124.9490,47,,401677568,-127
K311,264746,UT,DS,5,0,1,47,47,18:58:01 15-May-2024,MC,,,,,,,,401650000,
K311,264746,UT,DS,5,0,0,47,47,19:26:35 15-May-2024,NN,0,37.5089,-125.0138,37.5089,-125.0138,58,,401677567,-119
K311,264746,UT,DS,3,0,0,47,47,01:44:26 16-May-2024,CS,A,37.4261,-125.2560,37.4261,-125.2560,8,,401677548,-124
K311,264746,UT,DS,3,0,0,47,47,02:51:51 16-May-2024,SR,A,37.4176,-125.2993,37.4176,-125.2993,7,,401677562,-129
K311,264746,UT,DS,2,0,0,47,47,02:52:15 16-May-2024,NK,B,37.4246,-125.2974,37.4246,-125.2974,8,,401677557,-123
K311,264746,UT,DS,2,0,0,47,47,05:11:32 16-May-2024,NN,B,37.4373,-125.3571,37.4373,-125.3571,7,,401677572,-131
K311,264746,UT,DS,2,0,0,47,47,05:29:51 16-May-2024,NP,B,37.4628,-125.4860,37.4628,-125.4860,6,,401677557,-124
K311,264746,UT,DS,2,0,0,94,94,06:47:18 16-May-2024,O3,B,37.5049,-125.5219,37.5049,-125.5219,,,401677564,-130
K311,264746,UT,DS,3,0,0,47,47,06:47:18 16-May-2024,NN,A,37.4988,-125.5413,37.4988,-125.5413,8,,401677555,-121
K311,264746,UT,DS,1,0,0,,,04:20:13 17-May-2024,MC,B,37.7365,-126.3899,37.7365,-126.3899,,,401677559,-124
K311,264746,UT,DS,1,0,0,,,06:37:35 17-May-2024,NN,B,37.8992,-126.6109,37.8992,-126.6109,8,,401677512,-123
K311,264746,UT,DS,1,0,0,,,18:18:28 17-May-2024,MC,B,38.2742,-127.4881,38.2742,-127.4881,8,,401677510,-115
K311,264746,UT,DS,1,0,0,,,01:20:23 19-May-2024,CS,,,,,,,,401650000,-118
K311,264746,UT,DS,1,0,0,,,04:52:50 19-May-2024,NP,,,,,,,,401650000,-125
K311,264746,UT,DS,1,0,0,,,13:36:39 20-May-2024,SR,,,,,,,,401650000,-129
K311,264746,UT,DS,1,0,1,,,13:36:39 20-May-2024,A1,,,,,,,,401650000,-135
K311,264746,UT,DS,1,0,1,,,07:24:07 21-May-2024,NN,,,,,,,,401650000,-137
K311,264746,UT,DS,2,0,0,47,47,01:14:20 22-May-2024,SR,B,40.3937,-129.0133,30.6357,-79.9892,,,401677468,-131
K311,264746,UT,DS,2,0,0,94,94,02:01:03 22-May-2024,NK,B,40.8633,-129.3478,48.7403,-87.3449,,,401677468,-132
K311,264746,UT,DS,2,0,0,47,47,03:45:53 22-May-2024,NK,B,40.7656,-129.3697,40.7656,-129.3697,5,,401677574,-128
K311,264746,UT,DS,2,0,0,47,47,03:45:53 22-May-2024,A1,B,40.6967,-129.2551,40.6967,-129.2551,6,,401677573,-135
K311,264746,UT,DS,2,0,1,47,47,04:38:52 22-May-2024,SR,B,40.6702,-129.4426,,,7,,401677586,-133
K311,264746,UT,DS,2,0,0,48,48,06:00:05 22-May-2024,NP,B,40.6894,-129.4770,40.6894,-129.4770,7,,401677603,-128
K311,264746,UT,DS,2,0,0,48,48,06:00:05 22-May-2024,MC,B,40.6926,-129.4920,,,,,401677582,-125
K311,264746,UT,DS,1,0,0,,,07:20:39 22-May-2024,O3,B,40.6574,-129.5317,40.6574,-129.5317,8,,401677591,-138
K311,264746,UT,DS,1,0,0,,,07:21:26 22-May-2024,NN,B,40.6569,-129.5271,40.6569,-129.5271,8,,401677587,-137
K311,264746,UT,DS,2,0,0,47,47,07:37:16 22-May-2024,MC,B,40.7358,-129.5685,40.7358,-129.5685,6,,401677582,-128
K311,264746,UT,DS,1,0,0,,,16:31:05 22-May-2024,MC,B,40.6663,-129.7345,40.6663,-129.7345,8,,401677500,-132
K311,264746,UT,DS,2,0,0,47,47,18:18:06 22-May-2024,MC,B,40.7762,-129.6814,40.7762,-129.6814,6,,401677592,-131
K311,264746,UT,DS,1,0,0,,,19:55:21 22-May-2024,MC,B,40.8428,-129.7406,40.8428,-129.7406,8,,401677540,-122
K311,264746,UT,DS,3,0,0,47,47,21:02:18 22-May-2024,O3,,,,,,,,401650000,
K311,264746,UT,DS,2,0,1,47,47,22:33:23 22-May-2024,O3,B,40.9593,-129.8164,40.9593,-129.8164,6,,401677611,-129
K311,264746,UT,DS,1,0,0,,,00:20:50 23-May-2024,CS,B,41.0069,-129.9324,41.0069,-129.9324,8,,401677614,-136
K311,264746,UT,DS,2,0,0,94,94,02:26:07 23-May-2024,SR,B,41.0880,-130.0584,41.0880,-130.0584,8,,401677592,-124
K311,264746,UT,DS,1,0,0,,,03:10:04 23-May-2024,NK,B,41.1063,-130.1008,41.1063,-130.1008,8,,401677588,-137
K311,264746,UT,DS,2,0,0,47,47,04:08:48 23-May-2024,NP,B,41.1360,-130.1161,41.1360,-130.1161,8,,401677587,-125
K311,264746,UT,DS,3,0,0,47,47,04:09:11 23-May-2024,SR,A,41.1255,-130.1114,41.1255,-130.1114,6,,401677585,-133
K311,264746,UT,DS,2,0,0,47,47,04:43:34 23-May-2024,MB,B,41.1525,-130.1453,41.1525,-130.1453,8,,401677584,-126
K311,264746,UT,DS,2,0,0,47,47,05:34:04 23-May-2024,MC,B,41.1681,-130.1884,41.1681,-130.1884,8,,401677579,-115
K311,264746,UT,DS,3,0,0,47,47,05:51:13 23-May-2024,NP,A,41.1703,-130.2132,41.1703,-130.2132,6,,401677587,-125
K311,264746,UT,DS,2,0,1,94,94,06:26:52 23-May-2024,O3,B,41.1682,-130.2068,41.1682,-130.2068,8,,401677588,-133
