DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
HF2024_1006_22U3194,264706,0.500000,UT,21:00:00 15-Nov-2024,,,,0.0,-1.5,Status
HF2024_1006_22U3194,264706,0.500000,UT,18:00:00 18-Nov-2024,,,,0.0,0.9,Status
HF2024_1006_22U3194,264706,0.500000,UT,22:00:00 21-Nov-2024,,,,0.0,4.7,Status
HF2024_1006_22U3194,264706,0.500000,UT,23:00:00 21-Nov-2024,,,,0.0,5.2,Status
HF2024_1006_22U3194,264706,0.500000,UT,07:00:00 23-Nov-2024,,,,0.0,5.5,Status
HF2024_1006_22U3194,264706,0.500000,UT,17:00:00 23-Nov-2024,,,,0.0,5.6,Status
HF2024_1006_22U3194,264706,0.500000,UT,07:00:00 01-Feb-2025,,,,0.0,14.4,Status
HF2024_1006_22U3194,264706,0.500000,UT,07:00:00 02-Feb-2025,,,,0.0,6.1,Status
HF2024_1006_22U3194,264706,0.500000,UT,15:00:00 03-Feb-2025,,,,0.0,9.6,Status
HF2024_1006_22U3194,264706,0.500000,UT,05:00:00 05-Feb-2025,,,,0.0,-2.7,Status
HF2024_1006_22U3194,264706,0.500000,UT,09:00:00 05-Feb-2025,,,,0.0,0.9,Status
HF2024_1006_22U3194,264706,0.500000,UT,09:00:00 06-Feb-2025,,,,0.0,-1.8,Status
HF2024_1006_22U3194,264706,0.500000,UT,20:00:00 04-Mar-2025,,,,0.0,2.5,Status
