DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,Depth22,Depth22Error,MinTemp22,MaxTemp22,%Ox22,Discont22,Depth23,Depth23Error,MinTemp23,MaxTemp23,%Ox23,Discont23,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,11:13:00 13-May-2024,1.7,1.00,1,,,, ,7,,0.00,0.00,-1.125,-1.075,,,5.00,0.00,-1.025,-0.975,,,10.00,0.00,-1.525,-1.475,,,15.00,0.00,-1.475,-1.425,,,20.00,0.00,-1.325,-1.275,,,25.00,0.00,-1.275,-1.225,,,30.00,0.00,-1.275,-1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,14:31:00 13-May-2024,16.7,1.00,2,,,, ,10,,0.00,0.00,-1.475,-1.425,,,5.00,0.00,-1.425,-1.375,,,10.00,0.00,-1.425,-1.375,,,15.00,0.00,-1.375,-1.325,,,20.00,0.00,-0.975,-0.925,,,25.00,0.00,-0.675,-0.625,,,30.00,0.00,-0.575,-0.525,,,35.00,0.00,-0.625,-0.575,,,40.00,0.00,-0.025,0.025,,,45.00,0.00,0.225,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,15:08:00 14-May-2024,1.7,1.00,7,,,, ,9,,0.00,0.00,-1.225,-1.175,,,5.00,0.00,-1.225,-1.175,,,10.00,0.00,-1.225,-1.175,,,15.00,0.00,-1.225,-1.175,,,20.00,0.00,-1.125,-1.075,,,25.00,0.00,-0.125,-0.075,,,30.00,0.00,0.075,0.125,,,35.00,0.00,0.125,0.175,,,40.00,0.00,0.175,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,16:02:00 14-May-2024,1.7,1.00,4,,,, ,10,,0.00,0.00,-1.275,-1.225,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.275,-1.225,,,15.00,0.00,-1.225,-1.175,,,20.00,0.00,-0.975,-0.925,,,25.00,0.00,-0.225,-0.175,,,30.00,0.00,0.075,0.125,,,35.00,0.00,0.175,0.225,,,40.00,0.00,0.375,0.425,,,45.00,1.00,0.475,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,18:06:00 14-May-2024,1.7,1.00,5,,,, ,11,,0.00,0.00,-1.275,-1.225,,,5.00,0.00,-1.325,-1.275,,,10.00,0.00,-1.325,-1.275,,,15.00,0.00,-1.275,-1.225,,,20.00,0.00,-1.175,-1.125,,,25.00,0.00,-0.525,-0.475,,,30.00,0.00,-0.125,-0.075,,,35.00,0.00,0.125,0.175,,,40.00,0.00,0.275,0.325,,,45.00,0.00,0.625,0.675,,,50.00,0.00,0.975,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,11:17:00 16-May-2024,1.7,1.00,1,,,, ,10,,0.00,0.00,-1.375,-1.325,,,5.00,0.00,-1.375,-1.325,,,10.00,0.00,-1.525,-1.475,,,15.00,0.00,-1.525,-1.475,,,20.00,0.00,-1.575,-1.525,,,25.00,0.00,-1.575,-1.525,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.625,-1.575,,,40.00,0.00,-1.325,-1.275,,,45.00,0.00,-0.525,-0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,23:58:00 16-May-2024,1.7,1.00,3,,,, ,4,,0.00,0.00,-1.225,-1.175,,,5.00,0.00,-1.225,-1.175,,,10.00,0.00,-1.225,-1.175,,,15.00,1.00,-1.275,-1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,00:49:00 17-May-2024,1.7,1.00,6,,,, ,5,,0.00,0.00,-1.175,-1.125,,,5.00,0.00,-1.225,-1.175,,,10.00,0.00,-1.225,-1.175,,,15.00,0.00,-1.225,-1.175,,,20.00,0.00,-1.275,-1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,13:22:00 17-May-2024,1.7,1.00,5,,,, ,8,,0.00,0.00,-1.375,-1.325,,,5.00,0.00,-1.325,-1.275,,,10.00,0.00,-1.325,-1.275,,,15.00,0.00,-1.275,-1.225,,,20.00,0.00,-1.325,-1.275,,,25.00,0.00,-1.325,-1.275,,,30.00,0.00,-1.375,-1.325,,,35.00,0.00,-1.375,-1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,15:55:00 17-May-2024,16.7,1.00,2,,,, ,14,,0.00,0.00,-1.275,-1.225,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.275,-1.225,,,15.00,0.00,-1.275,-1.225,,,20.00,0.00,-1.275,-1.225,,,25.00,0.00,-1.275,-1.225,,,30.00,0.00,-1.375,-1.325,,,35.00,0.00,-1.425,-1.375,,,40.00,0.00,-1.225,-1.175,,,45.00,0.00,-0.025,0.025,,,50.00,0.00,0.525,0.575,,,55.00,0.00,0.775,0.825,,,60.00,0.00,0.825,0.875,,,65.00,0.00,0.825,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,16:01:00 17-May-2024,16.7,1.00,1,,,, ,14,,0.00,0.00,-1.275,-1.225,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.275,-1.225,,,15.00,0.00,-1.275,-1.225,,,20.00,1.00,-1.275,-1.225,,,25.00,0.00,-1.275,-1.225,,,30.00,0.00,-1.375,-1.325,,,35.00,0.00,-1.425,-1.375,,,40.00,0.00,-0.775,-0.725,,,45.00,0.00,0.275,0.325,,,50.00,0.00,0.675,0.725,,,55.00,0.00,0.875,0.925,,,60.00,0.00,0.875,0.925,,,65.00,1.00,0.825,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,17:52:00 18-May-2024,16.7,1.00,2,,,, ,13,,0.00,0.00,-1.525,-1.475,,,5.00,0.00,-1.525,-1.475,,,10.00,0.00,-1.525,-1.475,,,15.00,0.00,-1.525,-1.475,,,20.00,0.00,-1.525,-1.475,,,25.00,0.00,-1.575,-1.525,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.475,-1.425,,,40.00,0.00,0.775,0.825,,,45.00,0.00,0.975,1.025,,,50.00,0.00,0.975,1.025,,,55.00,0.00,0.975,1.025,,,60.00,0.00,0.975,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,18:07:00 18-May-2024,1.7,1.00,2,,,, ,5,,0.00,0.00,-1.525,-1.475,,,5.00,0.00,-1.525,-1.475,,,10.00,0.00,-1.525,-1.475,,,15.00,0.00,-1.525,-1.475,,,20.00,0.00,-1.575,-1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,07:38:00 19-May-2024,16.7,1.00,1,,,, ,12,,0.00,0.00,-1.325,-1.275,,,5.00,0.00,-1.325,-1.275,,,10.00,0.00,-1.325,-1.275,,,15.00,1.00,-1.375,-1.325,,,20.00,0.00,-1.425,-1.375,,,25.00,0.00,-1.525,-1.475,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.375,-1.325,,,40.00,0.00,-0.575,-0.525,,,45.00,0.00,0.475,0.525,,,50.00,0.00,0.775,0.825,,,55.00,0.00,0.825,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,08:14:00 19-May-2024,1.7,1.00,2,,,, ,11,,0.00,0.00,-1.325,-1.275,,,5.00,0.00,-1.325,-1.275,,,10.00,0.00,-1.375,-1.325,,,15.00,0.00,-1.425,-1.375,,,20.00,0.00,-1.425,-1.375,,,25.00,0.00,-1.525,-1.475,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.475,-1.425,,,40.00,0.00,-0.025,0.025,,,45.00,0.00,0.775,0.825,,,50.00,0.00,0.825,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,11:00:00 19-May-2024,1.7,1.00,2,,,, ,9,,0.00,0.00,-1.475,-1.425,,,5.00,0.00,-1.425,-1.375,,,10.00,0.00,-1.375,-1.325,,,15.00,0.00,-1.475,-1.425,,,20.00,0.00,-1.475,-1.425,,,25.00,0.00,-1.625,-1.575,,,30.00,0.00,-1.625,-1.575,,,35.00,0.00,-1.175,-1.125,,,40.00,0.00,0.775,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,11:04:00 20-May-2024,1.7,1.00,1,,,, ,6,,0.00,0.00,-1.025,-0.975,,,5.00,0.00,-1.175,-1.125,,,10.00,0.00,-1.375,-1.325,,,15.00,0.00,-1.475,-1.425,,,20.00,0.00,-1.475,-1.425,,,25.00,0.00,-1.525,-1.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,12:00:00 20-May-2024,1.7,1.00,3,,,, ,5,,0.00,0.00,-1.025,-0.975,,,5.00,0.00,-1.075,-1.025,,,10.00,0.00,-1.075,-1.025,,,15.00,0.00,-1.175,-1.125,,,20.00,0.00,-1.275,-1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,14:40:00 20-May-2024,1.7,1.00,3,,,, ,3,,0.00,0.00,-1.175,-1.125,,,5.00,0.00,-1.075,-1.025,,,10.00,0.00,-1.175,-1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,04:32:00 21-May-2024,16.7,1.00,1,,,, ,16,,0.00,0.00,-1.125,-1.075,,,5.00,0.00,-1.125,-1.075,,,10.00,0.00,-1.125,-1.075,,,15.00,0.00,-1.225,-1.175,,,20.00,0.00,-1.375,-1.325,,,25.00,0.00,-1.525,-1.475,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.125,-1.075,,,40.00,0.00,-0.025,0.025,,,45.00,0.00,0.375,0.425,,,50.00,0.00,0.625,0.675,,,55.00,0.00,0.825,0.875,,,60.00,0.00,0.875,0.925,,,65.00,0.00,0.975,1.025,,,70.00,0.00,1.475,1.525,,,75.00,0.00,1.625,1.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,15:01:00 21-May-2024,16.7,1.00,1,,,, ,11,,0.00,0.00,-0.175,-0.125,,,5.00,0.00,-0.225,-0.175,,,10.00,0.00,-0.175,-0.125,,,15.00,0.00,-0.175,-0.125,,,20.00,0.00,-0.225,-0.175,,,25.00,0.00,-0.725,-0.675,,,30.00,0.00,-0.325,-0.275,,,35.00,0.00,0.075,0.125,,,40.00,0.00,0.025,0.075,,,45.00,0.00,-0.025,0.025,,,50.00,0.00,0.225,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,17:20:00 21-May-2024,16.7,1.00,2,,,, ,15,,0.00,0.00,-0.475,-0.425,,,5.00,0.00,-0.475,-0.425,,,10.00,0.00,-0.475,-0.425,,,15.00,0.00,-0.525,-0.475,,,20.00,0.00,-0.375,-0.325,,,25.00,0.00,-0.075,-0.025,,,30.00,0.00,0.025,0.075,,,35.00,0.00,0.125,0.175,,,40.00,0.00,0.275,0.325,,,45.00,0.00,0.475,0.525,,,50.00,0.00,0.375,0.425,,,55.00,0.00,0.525,0.575,,,60.00,0.00,0.775,0.825,,,65.00,0.00,0.875,0.925,,,70.00,0.00,0.875,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
