Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
HF2024_1006_22U3194,09-May-2024,23:00:01,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,18,11355,,,,27,15078,,,,1,5280,,,,26,13037,,,,23,21964,,,,16,21533,,,,10,12280,,,,7,15155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,06:48:00,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,4,5258,,,,3,15570,,,,6,20669,,,,19,3423,,,,9,16222,,,,31,32337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,08:47:22,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,9,28835,,,,7,4042,,,,20,17670,,,,6,15567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,10:45:19,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,5,16074,,,,13,10099,,,,20,18049,,,,30,29152,,,,7,16876,,,,11,14723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,18:59:28,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,12,5316,,,,25,2814,,,,29,29949,,,,11,7526,,,,28,15080,,,,32,9011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,20:44:04,4,1.000000,,,0,8,,,,,,,,,,,,,,,15,26,2404,,,,31,8024,,,,1,31878,,,,16,1339,,,,29,10102,,,,4,10427,,,,28,30846,,,,18,3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,22:43:40,4,1.000000,,,0,5,,,,,,,,,,,,,,,15,18,19531,,,,5,4068,,,,29,3989,,,,1,15558,,,,7,10336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,00:35:10,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,21,31601,,,,27,7146,,,,10,22650,,,,8,11286,,,,2,20442,,,,15,13463,,,,7,17588,,,,16,16239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,03:00:01,1,1.000000,,,0,7,,,,,,,,,,,,,,,15,3,7875,,,,2,28500,,,,14,12317,,,,8,14032,,,,21,22842,,,,17,26763,,,,32,9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,04:00:00,1,1.000000,,,0,2,,,,,,,,,,,,,,,15,32,584,,,,8,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
