DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
HF2024_1006_22U3194,264706,UT,Strong,10-Jan-2023,21:10:01,21-Oct-2024,10:19:59
HF2024_1006_22U3194,264706,UT,Weak,07-May-2024,01:00:00,12-Jan-2025,02:28:03
HF2024_1006_22U3194,264706,UT,Strong,07-May-2024,08:47:32,07-May-2024,08:47:33
HF2024_1006_22U3194,264706,UT,Strong,23-Nov-2024,17:06:49,23-Nov-2024,17:06:45
HF2024_1006_22U3194,264706,UT,Strong,04-Mar-2025,20:26:59,04-Mar-2025,20:26:48
