DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
160381,160381,UT,19:40:08 22-Jun-2017,Argos,B,23.4917,-161.3684,39847,121537,13064,126,,,,,,
160381,160381,UT,20:56:53 27-Jun-2017,Argos,B,23.1914,-161.6090,48936,,,,,,,,,
160381,160381,UT,17:46:18.95 28-Jun-2017,FastGPS,,23.3403,-162.5292,,,,,,,,,,
160381,160381,UT,18:05:23 28-Jun-2017,Argos,B,23.0881,-161.7546,32432,127385,8257,107,,,,,,Lat > 4 deviations from mean
160381,160381,UT,18:28:56 28-Jun-2017,Argos,1,23.3471,-162.5473,1474,3374,643,84,,,,,,
160381,160381,UT,20:29:50 28-Jun-2017,Argos,0,23.3711,-162.4837,1676,6232,450,96,,,,,,
160381,160381,UT,21:21:46 28-Jun-2017,Argos,B,23.3687,-162.4939,2397,3383,1698,98,,,,,,
160381,160381,UT,22:12:39 28-Jun-2017,Argos,B,23.4394,-162.6553,5020,13371,1884,108,,,,,,
160381,160381,UT,00:51:49 29-Jun-2017,Argos,B,23.4674,-162.8321,4155,8754,1971,83,,,,,,
160381,160381,UT,20:11:25 29-Jun-2017,Argos,A,23.3562,-163.2433,1047,2193,500,146,,,,,,
160381,160381,UT,21:08:57 29-Jun-2017,Argos,B,23.3769,-163.3140,7122,7747,6547,89,,,,,,
160381,160381,UT,21:53:16 29-Jun-2017,Argos,B,23.3681,-163.2901,16581,62393,4406,105,,,,,,
160381,160381,UT,00:44:29 30-Jun-2017,Argos,B,23.3665,-163.2910,10742,17974,6419,90,,,,,,
160381,160381,UT,02:22:11 30-Jun-2017,Argos,B,23.4040,-163.5298,3994,12508,1275,115,,,,,,
160381,160381,UT,09:00:11 30-Jun-2017,Argos,B,23.4343,-163.8212,3991,6010,2650,115,,,,,,
160381,160381,UT,17:14:33 30-Jun-2017,Argos,B,23.3031,-163.6605,11863,67634,2080,77,,,,,,
160381,160381,UT,17:55:11 01-Jul-2017,Argos,B,23.4907,-165.1916,14206,749697,269,78,,,,,,
160381,160381,UT,19:44:50 01-Jul-2017,Argos,B,23.5063,-165.2957,14091,114458,1734,78,,,,,,
160381,160381,UT,02:32:18.69 24-Jul-2017,FastGPS,,23.9230,-166.3732,,,,,,,,,,
160381,160381,UT,02:45:53 24-Jul-2017,Argos,1,23.9272,-166.3682,612,1096,341,119,,,,,,
160381,160381,UT,16:28:17.33 25-Jul-2017,FastGPS,,23.9339,-166.3164,,,,,,,,,,
160381,160381,UT,18:05:57.82 25-Jul-2017,FastGPS,,23.8986,-166.3436,,,,,,,,,,
160381,160381,UT,19:58:08.64 10-Aug-2017,FastGPS,,24.2140,-165.7293,,,,,,,,,,
160381,160381,UT,20:23:46 11-Aug-2017,Argos,A,23.8911,-165.9642,2423,26317,223,111,,,,,,
160381,160381,UT,18:55:36.18 20-Aug-2017,FastGPS,,24.0992,-166.4596,,,,,,,,,,
160381,160381,UT,01:26:36.56 25-Aug-2017,FastGPS,,24.9365,-167.1772,,,,,,,,,,
160381,160381,UT,17:35:40.69 29-Sep-2017,FastGPS,,23.9105,-166.2011,,,,,,,,,,
160381,160381,UT,18:05:30.92 30-Sep-2017,FastGPS,,24.0685,-166.3160,,,,,,,,,,
160381,160381,UT,17:46:17 01-Oct-2017,FastGPS,,23.9595,-166.2511,,,,,,,,,,
160381,160381,UT,17:00:00 02-Oct-2017,Argos,3,23.9316,-166.2076,183,757,44,89,,,,,,
160381,160381,UT,18:27:09 02-Oct-2017,Argos,B,23.9295,-166.2095,1260,1419,1118,101,,,,,,
160381,160381,UT,21:22:32 05-Oct-2017,Argos,3,24.0787,-166.2491,150,204,110,125,,,,,,
160381,160381,UT,21:22:32 05-Oct-2017,Argos,3,24.0787,-166.2491,150,204,110,125,,,,,,
160381,160381,UT,19:19:37 06-Oct-2017,Argos,1,23.8797,-166.0882,557,909,340,156,,,,,,
160381,160381,UT,19:20:39 06-Oct-2017,Argos,B,23.8796,-166.0882,584,692,492,150,,,,,,
160381,160381,UT,19:56:41 09-Oct-2017,Argos,B,24.1752,-165.8858,11265,190764,665,99,,,,,,
160381,160381,UT,20:22:24 09-Oct-2017,Argos,B,24.1740,-165.8777,11242,45859,2755,101,,,,,,
160381,160381,UT,20:54:00 09-Oct-2017,Argos,A,24.1712,-165.8715,1660,23504,117,100,,,,,,
160381,160381,UT,01:47:47.24 13-Oct-2017,FastGPS,,24.0224,-166.6256,,,,,,,,,,
160381,160381,UT,18:27:57 19-Oct-2017,Argos,2,23.9751,-165.9885,376,1156,121,112,,,,,,
160381,160381,UT,19:51:22 19-Oct-2017,Argos,B,23.9727,-165.9828,4292,5431,3391,88,,,,,,
160381,160381,UT,01:01:35 20-Oct-2017,Argos,B,23.9377,-165.9507,7372,11676,4654,72,,,,,,
160381,160381,UT,19:43:37 21-Oct-2017,Argos,3,23.9048,-166.1758,241,297,194,98,,,,,,
160381,160381,UT,17:39:41.97 23-Oct-2017,FastGPS,,24.0928,-166.6721,,,,,,,,,,
160381,160381,UT,00:51:09.8 24-Oct-2017,FastGPS,,24.1278,-166.7373,,,,,,,,,,
160381,160381,UT,21:01:02 28-Oct-2017,Argos,B,23.9770,-166.5876,9324,128138,678,166,,,,,,
