DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
160379,160379,0.500000,UT,,16:23:11 12-May-2017,16:23:27 12-May-2017,16,B,13.7242,-153.2607,CRC,,,,7050,3.300,,,25.95,2.5,,,,,,,,,,,,,112,100,,,,,,,,,255,1193,749,
160379,160379,0.500000,UT,,16:47:16 14-May-2017,16:47:33 14-May-2017,17,B,13.9775,-156.1893,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,03:54:37 15-May-2017,03:54:54 15-May-2017,17,B,14.2356,-156.8998,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:47:09 17-May-2017,04:47:26 17-May-2017,17,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,21:23:40 16-Jun-2017,21:23:59 16-Jun-2017,19,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:22:42 19-Jun-2017,04:23:01 19-Jun-2017,19,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,15:59:07 21-Jun-2017,15:59:26 21-Jun-2017,19,B,21.0261,-157.9000,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,18:41:59 27-Jun-2017,18:42:19 27-Jun-2017,20,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,17:59:06 18-Jul-2017,17:59:27 18-Jul-2017,21,1,21.2702,-158.0648,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,18:01:38 18-Jul-2017,18:01:59 18-Jul-2017,21,1,21.2702,-158.0648,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
