DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
PL2024_1018_22U3174,264721,Transmission,UT,20:00:00 21-May-2024,22:00:00 21-May-2024,depth,deep,,48.0,3422,3494,21,44.000000,,64.000000,71.000000,,75.000000,89.000000
PL2024_1018_22U3174,264721,Transmission,UT,20:00:00 21-May-2024,22:00:00 21-May-2024,depth,dry,,37.0,2628,2700,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,22:00:00 21-May-2024,00:00:00 22-May-2024,depth,shallow,0.000000,12.6,871,943,13,,1.000000,,,2.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,22:00:00 21-May-2024,00:00:00 22-May-2024,depth,deep,,36.2,2572,2644,13,49.000000,,69.000000,71.000000,,73.000000,89.000000
PL2024_1018_22U3174,264721,Transmission,UT,22:00:00 21-May-2024,00:00:00 22-May-2024,depth,dry,,51.2,3650,3722,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 22-May-2024,06:00:00 22-May-2024,depth,shallow,0.000000,25.2,1778,1850,26,,1.000000,,,1.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 22-May-2024,06:00:00 22-May-2024,depth,deep,,68.5,4896,4968,26,46.000000,,75.000000,90.000000,,90.000000,90.000000
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 22-May-2024,06:00:00 22-May-2024,depth,dry,,6.3,418,490,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 22-May-2024,08:00:00 22-May-2024,depth,shallow,0.000000,25.2,1778,1850,22,,1.000000,,,2.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 22-May-2024,08:00:00 22-May-2024,depth,deep,,55.1,3933,4005,22,47.000000,,73.000000,90.000000,,90.000000,90.000000
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 22-May-2024,08:00:00 22-May-2024,depth,dry,,19.7,1382,1454,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,08:00:00 22-May-2024,10:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,08:00:00 22-May-2024,10:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,08:00:00 22-May-2024,10:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,10:00:00 22-May-2024,12:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,10:00:00 22-May-2024,12:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,10:00:00 22-May-2024,12:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
