Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
HF2024_1015_22U3184,20-May-2024,10:57:30,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,22,9399,,,,30,3081,,,,13,6810,,,,14,20990,,,,5,10954,,,,20,9531,,,,15,20786,,,,18,6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,20-May-2024,12:33:53,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,22,10113,,,,14,31466,,,,5,29268,,,,13,17293,,,,15,31780,,,,24,693,,,,18,2898,,,,17,13069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,20-May-2024,14:25:53,3,1.000000,,,0,8,,,,,,,,,,,,,,,15,24,10422,,,,10,460,,,,23,1629,,,,21,10217,,,,32,2576,,,,17,9525,,,,22,11008,,,,12,31795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,20-May-2024,16:19:21,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,32,21900,,,,12,22674,,,,28,670,,,,25,23296,,,,19,19912,,,,3,15825,,,,24,25942,,,,11,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,20-May-2024,19:00:00,3,1.000000,,,0,4,,,,,,,,,,,,,,,15,1,22800,,,,26,30857,,,,4,15674,,,,31,29670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,20-May-2024,20:57:06,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,29,29954,,,,16,9058,,,,1,7666,,,,26,15560,,,,18,32638,,,,5,26969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,20-May-2024,23:00:01,5,1.000000,,,0,5,,,,,,,,,,,,,,,15,8,12249,,,,26,2414,,,,23,23015,,,,27,14751,,,,7,17050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,00:51:06,5,1.000000,,,0,7,,,,,,,,,,,,,,,15,2,5833,,,,14,21477,,,,21,10409,,,,8,12343,,,,10,5424,,,,27,6573,,,,30,31732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,02:49:03,2,1.000000,,,0,7,,,,,,,,,,,,,,,15,17,23652,,,,22,25176,,,,2,11083,,,,14,13065,,,,21,26056,,,,32,6039,,,,10,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,04:39:51,3,1.000000,,,0,7,,,,,,,,,,,,,,,15,2,11784,,,,3,11415,,,,28,29757,,,,31,30082,,,,21,23448,,,,17,9419,,,,4,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,06:33:07,2,1.000000,,,0,7,,,,,,,,,,,,,,,15,19,27012,,,,3,19505,,,,9,2727,,,,11,1433,,,,6,32294,,,,4,7729,,,,17,3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,09:04:48,3,1.000000,,,0,7,,,,,,,,,,,,,,,15,11,8868,,,,13,20108,,,,5,8130,,,,20,250,,,,7,4564,,,,30,22989,,,,29,9376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,11:52:39,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,5,9064,,,,22,10022,,,,14,24505,,,,13,6131,,,,24,31768,,,,23,18341,,,,7,1888,,,,20,16373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
